productidnew_bi_strs,formatcode_bi_txtm,issnnum_en_strs,issnnum_fr_strs
57-505-X,8,0-662-36611-5,0-662-36611-5
57-601-S,12,0-660-54870-4,0-660-54870-4
57-601-U,12,0-660-54870-4,0-660-54870-4
57-601-X,4,1204-0592,1204-0592
57-601-X,17,1496-4600,1496-4600
57-601-X,12,0-660-54870-4,0-660-54870-4
57-601-X,8,1496-4600,1496-4600
57-601-X,3,1499-1063,1499-1063
57F0008X,8,0-662-32105-7,0-662-32105-7
61-003-P,12,0225-9168,0225-9168
61-003-X,12,0380-7525,0380-7525
61-006-X,12,0380-075X,0380-075X
61-008-X,17,1496-5917,1496-5917
61-008-X,8,1496-5917,1496-5917
61-008-X,12,1180-3169,1180-3169
61-204-X,12,0575-9463,0575-9463
61-205-X,8,1480-7548,1480-7548
61-205-X,17,1480-7548,1480-7548
61-205-X,10,0823-065X,0823-065X
61-205-X,12,0823-065X,0823-065X
61-206-X,10,0823-0668,0823-0668
61-206-X,12,0823-0668,0823-0668
61-206-X,8,1480-7556,1480-7556
61-210-X,12,0823-4248,0823-4248
61-214-X,12,0833-0042,0833-0042
61-216-X,12,0833-0034,0833-0034
61-219-P,12,1195-857X,1195-857X
61-219-X,8,1499-7525,1499-7525
61-219-X,17,1499-7525,1499-7525
61-219-X,12,1188-7370,1188-7370
61-220-X,12,1492-2800,1492-2800
61-220-X,8,1499-8572,1499-8572
61-220-X,17,1499-8572,1499-8572
61-221-X,12,1195-9983,1195-9983
61-222-X,12,1195-9991,1195-9991
61-223-X,12,1201-057X,1201-057X
61-223-X,10,1201-057X,1201-057X
61-223-X,8,1483-3654,1483-3654
61-224-X,3,1488-7452,1488-7452
61-232-X,17,1708-6906,1708-6906
61-232-X,8,1708-6906,1708-6906
61-517-X,12,0575-8823,0575-8823
61-517-X,3,1198-0753,1198-0753
61-526-X,12,0-660-17933-4,0-660-17933-4
61F0019X,12,1201-6292,1201-6292
61F0019X,8,1209-1219,1209-1219
61F0020X,3,1492-2576,1492-2576
61F0027X,3,1492-5036,1492-5036
61F0040X,3,1183-8752,1183-8752
61F0041M,8,1205-917X,1205-917X
61F0041M,12,1203-2891,1203-2891
61F0056X,3,1203-5777,1203-5777
61F0058X,3,1488-7452,1488-7452
61F0059X,3,1499-7282,1499-7282
61F0060X,3,1488-7452,1488-7452
61F0100X,3,1499-7274,1499-7274
62-001-X,12,0703-9352,0703-9352
62-001-X,8,1496-2225,1496-2225
62-001-X,17,1496-2225,1496-2225
62-003-X,12,0835-0906,0835-0906
62-004-X,12,0383-4875,0383-4875
62-007-X,8,1499-9897,1499-9897
62-007-X,17,1499-9897,1499-9897
62-007-X,12,1499-9889,1499-9889
62-010-X,8,1209-0832,1209-0832
62-010-X,12,0380-691X,0380-691X
62-011-X,17,1705-2270,1705-2270
62-011-X,8,1705-2270,1705-2270
62-011-X,12,0700-2033,0700-2033
62-012-X,12,1192-8077,1192-8077
62-013-X,8,1708-0142,1708-0142
62-014-X,8,0-662-35016-2,0-662-35016-2
62-201-X,8,1488-3813,1488-3813
62-201-X,12,1206-3835,1206-3835
62-202-X,8,1488-447X,1488-447X
62-202-X,12,1488-3406,1488-3406
62-202-X,17,1488-447X,1488-447X
62-553-X,12,0-660-58926-5,0-660-58926-5
62-554-X,12,0838-3898,0838-3898
62-554-X,8,0-660-19009-5,0-660-19009-5
62-555-X,12,0838-3715,0838-3715
62-556-X,12,0-660-52876-2,0-660-52876-2
62-558-X,12,0-660-54862-3,0-660-54862-3
62-560-X,17,0-662-38315-X,0-662-38315-X
62-603-X,12,0-660-11481-X,0-660-11481-X
62F0014M,12,1206-2677,1206-2677
62F0014M,8,1706-7723,1706-7723
62F0026M,17,1708-8879,1708-8879
62F0026M,8,1708-8879,1708-8879
62F0031X,4,1708-9905,1708-9905
62F0032X,4,1710-0240,1710-0240
62F0033X,4,1708-993X,1708-993X
62F0034X,4,1708-9948,1708-9948
62F0035X,4,1708-9956,1708-9956
62F0040X,8,1488-0261,1488-0261
62F0041X,4,1708-9441,1708-9441
62F0042X,4,1708-9913,1708-9913
62F0043X,4,1708-9964,1708-9964
62F0044X,4,1708-9972,1708-9972
62F0045X,4,1708-9980,1708-9980
62F0072G,8,1708-6205,1708-6205
62F0072G,17,1708-6205,1708-6205
62F0082X,8,1705-3943,1705-3943
62F0083X,8,1705-4001,1705-4001
62F0084X,8,1705-396X,1705-396X
62F0085X,8,1705-3986,1705-3986
62M0001U,3,0-660-62403-6,0-660-62403-6
62M0001X,3,0-660-59397-1,0-660-59397-1
62M0004X,3,1488-7460,1488-7460
63-002-X,12,0380-7045,0380-7045
63-004-X,12,1183-7888,1183-7888
63-005-X,12,0380-6146,0380-6146
63-005-X,17,1488-0008,1488-0008
63-005-X,8,1488-0008,1488-0008
63-007-X,8,1209-1146,1209-1146
63-007-X,17,1209-1146,1209-1146
63-007-X,12,0705-5595,0705-5595
63-008-X,12,0380-7894,0380-7894
63-008-X,17,1480-7467,1480-7467
63-008-X,8,1480-7467,1480-7467
63-011-X,17,1496-3280,1496-3280
63-011-X,12,0226-2320,0226-2320
63-011-X,8,1496-3280,1496-3280
63-015-X,12,0847-0901,0847-0901
63-016-X,12,1195-5961,1195-5961
63-016-X,8,1480-8382,1480-8382
63-018-X,8,1712-5510,1712-5510
63-018-X,17,1712-5510,1712-5510
63-202-X,12,0705-4319,0705-4319
63-202-X,8,1481-0859,1481-0859
63-202-X,17,1481-0859,1481-0859
63-204-X,12,0380-5956,0380-5956
63-206-X,12,0527-5768,0527-5768
63-207-X,12,0380-6294,0380-6294
63-210-X,8,1488-0903,1488-0903
63-210-X,12,0227-017X,0227-017X
63-213-X,12,0527-6411,0527-6411
63-218-X,12,0590-5702,0590-5702
63-219-X,12,0380-6286,0380-6286
63-222-X,12,1181-9847,1181-9847
63-223-X,12,0843-557X,0843-557X
63-224-X,12,0590-9325,0590-9325
63-224-X,17,1499-4453,1499-4453
63-224-X,8,1499-4453,1499-4453
63-226-X,12,0823-1214,0823-1214
63-232-X,12,0838-2182,0838-2182
63-233-X,12,0838-2174,0838-2174
63-234-X,12,1183-4447,1183-4447
63-236-X,8,1492-9198,1492-9198
63-236-X,12,1201-0588,1201-0588
63-238-X,8,1916-5943,1916-5943
63-238-X,17,1916-5943,1916-5943
63-239-X,8,1916-6036,1916-6036
63-239-X,17,1916-6036,1916-6036
63-240-X,8,1916-6052,1916-6052
63-240-X,17,1916-6052,1916-6052
63-241-X,17,1916-6907,1916-6907
63-241-X,8,1916-6907,1916-6907
63-242-X,8,1916-6826,1916-6826
63-242-X,17,1916-6826,1916-6826
63-243-X,17,1916-7016,1916-7016
63-243-X,8,1916-7016,1916-7016
63-244-X,8,1916-761X,1916-761X
63-244-X,17,1916-761X,1916-761X
63-245-X,17,1916-792X,1916-792X
63-245-X,8,1916-792X,1916-792X
63-246-X,8,1916-7962,1916-7962
63-246-X,17,1916-7962,1916-7962
63-247-X,8,1916-7946,1916-7946
63-247-X,17,1916-7946,1916-7946
63-248-X,17,1916-7903,1916-7903
63-248-X,8,1916-7903,1916-7903
63-249-X,17,1916-8411,1916-8411
63-249-X,8,1916-8411,1916-8411
63-250-X,8,1916-9019,1916-9019
63-250-X,17,1916-9019,1916-9019
63-251-X,8,1916-8977,1916-8977
63-251-X,17,1916-8977,1916-8977
63-252-X,8,1916-8934,1916-8934
63-252-X,17,1916-8934,1916-8934
63-253-X,8,1916-9019,1916-9019
63-253-X,17,1916-9019,1916-9019
63-254-X,8,1916-8993,1916-8993
63-254-X,17,1916-8993,1916-8993
63-255-X,8,1916-8950,1916-8950
63-255-X,17,1916-8950,1916-8950
63-256-X,8,1916-9892,1916-9892
63-256-X,17,1916-9892,1916-9892
63-257-X,8,1916-9914,1916-9914
63-257-X,17,1916-9914,1916-9914
63-258-X,8,1916-9930,1916-9930
63-258-X,17,1916-9930,1916-9930
63-259-X,8,1916-9957,1916-9957
63-259-X,17,1916-9957,1916-9957
63-270-X,17,1918-9974,1918-9974
63-270-X,8,1918-9974,1918-9974
63-271-X,17,1918-9990,1918-9990
63-271-X,8,1918-9990,1918-9990
63-532-X,12,0575-8629,0575-8629
63-541-X,12,0-660-54865-8,0-660-54865-8
63-542-X,12,0-660-54886-0,0-660-54886-0
63-603-X,12,0829-7401,0829-7401
63-607-X,12,0829-741X,0829-741X
63-608-X,12,0833-2274,0833-2274
63-609-X,12,0833-2282,0833-2282
63F0002X,8,1481-6466,1481-6466
63F0002X,12,1201-9038,1201-9038
63F0002X,17,1481-6466,1481-6466
63F0026X,3,1703-7581,1703-7581
64-001-X,8,1480-7475,1480-7475
64-001-X,17,1480-7475,1480-7475
64-001-X,12,0318-8809,0318-8809
64-001-X,10,0318-8809,0318-8809
64-201-X,12,0527-4974,0527-4974
64-202-X,12,0318-5273,0318-5273
64-203-X,10,0575-7975,0575-7975
64-203-X,8,1480-7580,1480-7580
64-203-X,12,0575-7975,0575-7975
64-204-X,12,0835-1031,0835-1031
64-205-X,12,0835-104X,0835-104X
64-206-X,12,0835-1058,0835-1058
64-207-X,12,0835-1066,0835-1066
64-208-X,12,0835-1074,0835-1074
64-209-X,12,0835-1082,0835-1082
64-210-X,12,0835-1090,0835-1090
65-001-P,12,0828-1998,0828-1998
65-001-X,12,1198-7391,1198-7391
65-001-X,8,1480-8781,1480-8781
65-001-X,4,1705-8996,1705-8996
65-001-X,17,1480-8781,1480-8781
65-003-X,3,1911-5458,1911-5458
65-003-X,12,1181-6724,1181-6724
65-003-X,10,1181-6724,1181-6724
65-004-X,10,1181-6732,1181-6732
65-004-X,12,1181-6732,1181-6732
65-004-X,3,1911-544X,1911-544X
65-006-X,3,1911-5431,1911-5431
65-006-X,10,1181-6740,1181-6740
65-006-X,12,1181-6740,1181-6740
65-007-X,10,1181-6759,1181-6759
65-007-X,3,1911-5423,1911-5423
65-007-X,12,1181-6759,1181-6759
65-202-X,10,1181-6767,1181-6767
65-202-X,12,1181-6767,1181-6767
65-203-X,10,0380-1349,0380-1349
65-203-X,12,0380-1349,0380-1349
65-208-X,17,1710-498X,1710-498X
65-208-X,8,1710-498X,1710-498X
65-209-S,8,1911-8694,1911-8694
65-209-S,17,1911-8694,1911-8694
65-209-X,17,1911-8678,1911-8678
65-209-X,8,1911-8678,1911-8678
65-503-X,12,0-660-52869-X,0-660-52869-X
65-504-X,12,0-660-14788-2,0-660-14788-2
65-506-X,8,1702-739X,1702-739X
65-507-M,17,1712-1345,1712-1345
65-507-M,8,1712-1345,1712-1345
65-508-X,8,1717-9416,1717-9416
65-508-X,17,1717-9416,1717-9416
65F0013X,2,1920-9592,1920-9592
65F0020X,8,0-662-28347-3,0-662-28347-3
65F0021X,3,1492-7284,1492-7284
66-001-P,12,0705-5269,0705-5269
66-001-P,17,1492-4285,1492-4285
66-001-P,8,1492-4285,1492-4285
66-001-X,12,0838-3952,0838-3952
66-201-X,8,1704-8249,1704-8249
66-201-X,12,0840-3139,0840-3139
66-201-X,17,1704-8249,1704-8249
67-001-X,12,0847-074X,0847-074X
67-001-X,8,1209-1286,1209-1286
67-001-X,17,1209-1286,1209-1286
67-002-X,8,1488-4860,1488-4860
67-002-X,12,1183-4315,1183-4315
67-002-X,17,1488-4860,1488-4860
67-202-X,12,0318-8868,0318-8868
67-202-X,8,1480-8412,1480-8412
67-202-X,17,1480-8412,1480-8412
67-203-X,17,1499-1454,1499-1454
67-203-X,8,1499-1454,1499-1454
67-203-X,12,1499-1446,1499-1446
67-506-X,12,0-660-18175-4,0-660-18175-4
67-506-X,8,0-660-18175-4,0-660-18175-4
67-508-X,12,0-660-56556-0,0-660-56556-0
67-509-X,12,0-660-52245-4,0-660-52245-4
67-510-X,12,0-660-52885-1,0-660-52885-1
67F0001M,8,1709-8157,1709-8157
67F0001M,12,1206-8306,1206-8306
68-202-X,12,0575-8254,0575-8254
68-212-X,12,1201-6284,1201-6284
68-213-S,8,1708-1297,1708-1297
68-213-S,17,1708-1297,1708-1297
68-213-X,8,1492-1502,1492-1502
68-213-X,17,1492-1502,1492-1502
68-213-X,12,1494-5797,1494-5797
68-507-X,12,0-660-11577-8,0-660-11577-8
68-508-X,12,0-660-54898-4,0-660-54898-4
68-512-X,12,0-660-54872-0,0-660-54872-0
68-513-X,12,0-660-59383-1,0-660-59383-1
68-513-X,8,0-660-59383-1,0-660-59383-1
68F0023X,17,1704-8826,1704-8826
68F0023X,8,1704-8826,1704-8826
71-001-P,12,0708-3157,0708-3157
71-001-P,8,1492-5478,1492-5478
71-001-X,12,0380-6804,0380-6804
71-001-X,8,1492-5478,1492-5478
71-001-X,17,1492-5478,1492-5478
71-005-X,12,1206-6400,1206-6400
71-201-X,12,1181-957X,1181-957X
71-202-X,12,0228-345X,0228-345X
71-205-X,12,0835-846X,0835-846X
71-206-X,12,0835-8478,0835-8478
71-207-X,12,0835-8486,0835-8486
71-208-X,12,0835-8494,0835-8494
71-211-X,8,1710-3754,1710-3754
71-211-X,17,1710-3754,1710-3754
71-214-X,12,0835-8559,0835-8559
71-217-X,12,0835-8583,0835-8583
71-220-X,12,1181-6627,1181-6627
71-221-G,8,1708-2757,1708-2757
71-221-X,17,1708-2439,1708-2439
71-221-X,8,1708-2439,1708-2439
71-222-X,17,1710-4254,1710-4254
71-222-X,8,1710-4254,1710-4254
71-519-X,12,0-660-53436-3,0-660-53436-3
71-528-X,12,0-660-59388-2,0-660-59388-2
71-529-X,12,0-660-58918-4,0-660-58918-4
71-533-X,12,0-660-52240-3,0-660-52240-3
71-534-X,12,0-660-14722-X,0-660-14722-X
71-535-M,12,0835-510X,0835-510X
71-536-X,12,0-660-53413-4,0-660-53413-4
71-538-X,12,0-660-14192-2,0-660-14192-2
71-539-X,12,0-660-59259-2,0-660-59259-2
71-540-X,12,0-660-58906-0,0-660-58906-0
71-543-G,17,1704-8842,1704-8842
71-543-G,8,1704-8842,1704-8842
71-544-X,8,1710-2464,1710-2464
71-544-X,17,1710-2464,1710-2464
71-582-X,12,0-660-52868-1,0-660-52868-1
71-584-M,12,1499-0318,1499-0318
71-584-M,8,1499-0326,1499-0326
71-586-X,8,0-660-18452-4,0-660-18452-4
71-587-X,17,0-662-40592-7,0-662-40592-7
71-587-X,8,0-662-40591-9,0-662-40591-9
71-588-X,8,1919-1200,1919-1200
71-588-X,17,1919-1200,1919-1200
71-605-X,12,0-660-54894-1,0-660-54894-1
71-606-X,17,1914-6299,1914-6299
71-606-X,8,1914-6299,1914-6299
71F0004X,3,1480-5502,1480-5502
71F0004X,15,1480-5502,1480-5502
71F0031X,8,1712-8102,1712-8102
71F0031X,17,1712-8102,1712-8102
71M0001X,3,1499-2035,1499-2035
71M0017X,3,0-660-61938-5,0-660-61938-5
72-002-X,17,1496-0583,1496-0583
72-002-X,8,1496-0583,1496-0583
72-002-X,12,0380-6936,0380-6936
72-005-X,12,0318-9007,0318-9007
72-007-X,12,0825-9224,0825-9224
72-208-X,12,0835-233X,0835-233X
72-209-X,12,1201-8481,1201-8481
72F0002X,3,1209-3521,1209-3521
72F0002X,8,1486-8199,1486-8199
72F0002X,12,1487-9158,1487-9158
72F0023X,3,1492-2185,1492-2185
72F0023X,8,1496-7936,1496-7936
72M0001X,3,0-660-60606-2,0-660-60606-2
73-001-X,12,0829-1098,0829-1098
73-002-X,17,1920-1761,1920-1761
73-202-S,12,0828-3176,0828-3176
73-505-X,12,0-660-15563-X,0-660-15563-X
73M0001X,3,0-660-60646-1,0-660-60646-1
74-001-X,12,0700-205X,0700-205X
74-001-X,8,1492-6911,1492-6911
74-201-X,8,1492-6326,1492-6326
74-201-X,12,0835-4634,0835-4634
74-401-S,8,1492-8841,1492-8841
74-401-X,12,0701-5488,0701-5488
74-401-X,8,1488-7592,1488-7592
74-507-X,3,1708-797X,1708-797X
74F0002X,12,1484-2335,1484-2335
74F0002X,8,1499-1047,1499-1047
74F0002X,4,1499-1055,1499-1055
75-001-X,8,1492-496X,1492-496X
75-001-X,17,1492-496X,1492-496X
75-001-X,12,0840-8750,0840-8750
75-003-X,8,1499-4437,1499-4437
75-003-X,17,1499-4437,1499-4437
75-006-X,8,2291-0840,2291-0840
75-006-X,17,2291-0840,2291-0840
75-201-X,12,1201-5725,1201-5725
75-202-R,12,1492-1480,1492-1480
75-202-X,12,1492-1480,1492-1480
75-202-X,8,1492-1499,1492-1499
75-202-X,17,1492-1499,1492-1499
75-203-X,8,1710-7385,1710-7385
75-203-X,17,1710-7385,1710-7385
75-507-X,12,0-660-15434-X,0-660-15434-X
75F0002M,8,1707-2840,1707-2840
75F0002M,17,1707-2840,1707-2840
75F0010X,12,0-660-58920-6,0-660-58920-6
75F0011X,8,1710-0356,1710-0356
75F0026X,8,1710-7482,1710-7482
75F0033M,8,1708-8798,1708-8798
75F0048M,8,1709-7819,1709-7819
75M0001X,3,1203-4932,1203-4932
75M0007X,3,1496-2292,1496-2292
75M0009X,3,0-660-60613-5,0-660-60613-5
75M0010X,3,1499-0881,1499-0881
75M0011X,3,0-660-61974-1,0-660-61974-1
81-002-X,12,0826-8258,0826-8258
81-003-X,8,1209-0859,1209-0859
81-003-X,12,1195-2261,1195-2261
81-004-X,8,1710-5854,1710-5854
81-005-X,17,1715-4413,1715-4413
81-204-X,12,0706-3652,0706-3652
81-208-X,12,0703-9328,0703-9328
81-210-X,12,0704-6596,0704-6596
81-219-X,12,0318-2991,0318-2991
81-220-X,12,0575-786X,0575-786X
81-222-X,12,0832-6657,0832-6657
81-229-X,12,0706-3679,0706-3679
81-229-X,8,1480-8528,1480-8528
81-241-X,12,0707-9737,0707-9737
81-254-X,12,0706-2990,0706-2990
81-257-X,12,0706-3717,0706-3717
81-258-P,12,0225-3690,0225-3690
81-258-S,12,0225-3704,0225-3704
81-258-X,12,0225-3682,0225-3682
81-260-X,12,0829-7177,0829-7177
81-261-X,12,0840-7150,0840-7150
81-528-X,12,0-660-58936-2,0-660-58936-2
81-574-X,12,0-660-13754-2,0-660-13754-2
81-579-X,12,0-660-58940-0,0-660-58940-0
81-580-X,12,0-660-59252-5,0-660-59252-5
81-581-X,12,0-662-62683-4,0-662-62683-4
81-582-G,8,1927-6257,1927-6257
81-582-G,17,1927-6257,1927-6257
81-582-X,17,1709-8653,1709-8653
81-582-X,8,1709-8653,1709-8653
81-583-X,12,0-662-25293-4,0-662-25293-4
81-586-X,8,0-662-29798-9,0-662-29798-9
81-586-X,12,0-662-29799-7,0-662-29799-7
81-588-X,8,0-662-29507-2,0-662-29507-2
81-589-X,12,0-88987-129-9,0-88987-129-9
81-590-X,8,1712-5472,1712-5472
81-590-X,17,1712-5472,1712-5472
81-590-X,12,1712-5464,1712-5464
81-592-X,8,0-662-32673-3,0-662-32673-3
81-593-X,12,0-662-66771-9,0-662-66771-9
81-593-X,8,0-662-32675-X,0-662-32675-X
81-595-M,17,1711-831X,1711-831X
81-595-M,8,1711-831X,1711-831X
81-598-X,8,1918-2651,1918-2651
81-598-X,17,1918-2651,1918-2651
81-599-X,17,1709-8653,1709-8653
81-599-X,8,1709-8653,1709-8653
81-600-X,8,1919-8507,1919-8507
81-600-X,17,1919-8507,1919-8507
81-604-X,17,1920-5910,1920-5910
81-604-X,8,1920-5910,1920-5910
81F0002X,12,0-660-58902-8,0-660-58902-8
81M0009X,3,0-660-60619-4,0-660-60619-4
81M0012X,3,0-660-60620-8,0-660-60620-8
81M0013X,3,0-660-62595-4,0-660-62595-4
81M0017X,3,1714-5570,1714-5570
82-003-S,12,1708-766X,1708-766X
82-003-S,8,1708-7678,1708-7678
82-003-X,17,1209-1367,1209-1367
82-003-X,8,1209-1367,1209-1367
82-003-X,12,0840-6529,0840-6529
82-005-X,8,1703-2180,1703-2180
82-005-X,17,1703-2180,1703-2180
82-213-X,17,1929-3003,1929-3003
82-214-X,8,1927-775X,1927-775X
82-214-X,17,1927-775X,1927-775X
82-216-X,12,1201-7329,1201-7329
82-216-X,10,1201-7329,1201-7329
82-217-X,12,1195-4019,1195-4019
82-218-X,12,1195-406X,1195-406X
82-219-X,12,1195-4078,1195-4078
82-219-X,10,1195-4078,1195-4078
82-220-X,10,1195-4086,1195-4086
82-220-X,12,1195-4086,1195-4086
82-221-X,17,1496-3922,1496-3922
82-221-X,8,1496-3922,1496-3922
82-221-X,3,1481-2495,1481-2495
82-222-X,8,1-895581-92-3,1-895581-92-3
82-223-X,8,1708-7856,1708-7856
82-223-X,17,1708-7856,1708-7856
82-224-X,8,1712-4077,1712-4077
82-224-X,17,1712-4077,1712-4077
82-225-X,8,1715-2100,1715-2100
82-226-X,8,1715-8141,1715-8141
82-226-X,17,1715-8141,1715-8141
82-228-X,17,1918-9311,1918-9311
82-230-X,17,1920-8464,1920-8464
82-230-X,8,1920-8464,1920-8464
82-231-X,17,1715-8168,1715-8168
82-231-X,8,1715-8168,1715-8168
82-401-X,8,1703-9363,1703-9363
82-402-X,8,1708-0746,1708-0746
82-402-X,17,1708-0746,1708-0746
82-544-X,12,0-660-52905-X,0-660-52905-X
82-545-X,12,0-660-11707-X,0-660-11707-X
82-546-X,12,0-660-52855-X,0-660-52855-X
82-548-X,12,0-660-54875-5,0-660-54875-5
82-549-X,12,0-660-54876-3,0-660-54876-3
82-550-X,12,0-660-54877-1,0-660-54877-1
82-552-X,12,0-660-54879-8,0-660-54879-8
82-552-X,4,0-660-58914-1,0-660-58914-1
82-553-X,12,0-660-54880-1,0-660-54880-1
82-554-X,12,0-660-54892-5,0-660-54892-5
82-555-X,12,0-660-58901-X,0-660-58901-X
82-562-X,12,0-660-11938-2,0-660-11938-2
82-563-X,12,0-660-11874-2,0-660-11874-2
82-565-X,12,0-660-53411-8,0-660-53411-8
82-566-X,12,0-660-58922-2,0-660-58922-2
82-567-X,12,0-660-60555-4,0-660-60555-4
82-568-X,12,0-660-59258-4,0-660-59258-4
82-573-G,8,0-662-29354-1,0-662-29354-1
82-575-X,17,1710-8381,1710-8381
82-575-X,8,1710-8381,1710-8381
82-576-X,8,1496-6123,1496-6123
82-583-X,17,1923-4309,1923-4309
82-602-X,12,0-660-54223-4,0-660-54223-4
82-603-X,12,0-660-53445-2,0-660-53445-2
82-604-X,12,0-660-53446-0,0-660-53446-0
82-605-X,12,0-660-53447-9,0-660-53447-9
82-606-X,12,0-660-53448-7,0-660-53448-7
82-607-X,12,0-660-53449-5,0-660-53449-5
82-608-X,12,0-660-54200-5,0-660-54200-5
82-609-X,12,0-660-54201-3,0-660-54201-3
82-610-X,12,0-660-54202-1,0-660-54202-1
82-611-X,12,0-660-53204-8,0-660-53204-8
82-612-X,12,0-660-54203-X,0-660-54203-X
82-613-X,12,0-660-54205-6,0-660-54205-6
82-614-X,12,0-660-54206-4,0-660-54206-4
82-615-X,12,1180-4610,1180-4610
82-618-M,8,1713-8833,1713-8833
82-618-M,17,1713-8833,1713-8833
82-619-M,8,1715-3026,1715-3026
82-619-M,17,1715-3026,1715-3026
82-620-M,17,1716-6713,1716-6713
82-620-M,8,1716-6713,1716-6713
82-621-X,17,1717-7790,1717-7790
82-621-X,8,1717-7790,1717-7790
82-622-X,17,1915-5190,1915-5190
82-622-X,8,1915-5190,1915-5190
82-623-X,8,1920-6550,1920-6550
82-623-X,17,1920-6550,1920-6550
82-624-X,8,1925-6493,1925-6493
82-624-X,17,1925-6493,1925-6493
82-625-X,8,1920-9118,1920-9118
82-625-X,17,1920-9118,1920-9118
82-626-X,17,1929-7556,1929-7556
82-626-X,8,1929-7556,1929-7556
82F0001X,3,1203-2824,1203-2824
82F0008X,12,0835-2976,0835-2976
82F0075X,3,1488-5360,1488-5360
82F0081X,8,1492-5370,1492-5370
82F0086X,4,1710-3347,1710-3347
82M0007X,3,0-660-60633-X,0-660-60633-X
82M0009X,3,1203-2824,1203-2824
82M0010X,3,1484-4052,1484-4052
82M0011X,3,1710-9116,1710-9116
82M0013X,3,1499-5581,1499-5581
82M0020X,3,1703-4841,1703-4841
82M0022X,8,0-662-36849-5,0-662-36849-5
83-226-X,12,0384-2592,0384-2592
83-237-X,8,1718-8849,1718-8849
83-237-X,17,1718-8849,1718-8849
83-237-X,12,1201-7337,1201-7337
83-237-X,10,1201-7337,1201-7337
83-238-X,12,1195-4175,1195-4175
83-239-X,12,1195-4043,1195-4043
83-240-X,12,1195-4051,1195-4051
83-241-X,10,1195-4035,1195-4035
83-241-X,12,1195-4035,1195-4035
83-242-X,12,1195-4183,1195-4183
83-242-X,10,1195-4183,1195-4183
83-243-X,10,1195-4205,1195-4205
83-243-X,12,1195-4205,1195-4205
83-244-X,10,1195-4213,1195-4213
83-244-X,12,1195-4213,1195-4213
83-245-X,12,1195-4027,1195-4027
83-245-X,10,1195-4027,1195-4027
83-246-X,10,1195-4191,1195-4191
83-246-X,12,1195-4191,1195-4191
83-603-X,12,0-660-52809-6,0-660-52809-6
84-208-X,8,1708-1440,1708-1440
84-208-X,12,1195-4094,1195-4094
84-209-X,12,1195-4108,1195-4108
84-210-X,12,1201-7353,1201-7353
84-210-X,10,1201-7353,1201-7353
84-211-X,12,1195-4132,1195-4132
84-212-X,12,1195-4140,1195-4140
84-212-X,10,1195-4140,1195-4140
84-213-X,10,1195-4159,1195-4159
84-213-X,12,1195-4159,1195-4159
84-214-X,8,0-660-17893-1,0-660-17893-1
84-214-X,12,0-660-17893-1,0-660-17893-1
84-215-X,8,1913-7826,1913-7826
84-215-X,17,1913-7826,1913-7826
84-532-X,12,0-660-52236-5,0-660-52236-5
84-536-X,12,0-660-58946-X,0-660-58946-X
84-537-X,17,1910-3484,1910-3484
84-537-X,8,1910-3484,1910-3484
84-542-X,12,0-660-51858-9,0-660-51858-9
84-544-X,12,0-660-52872-X,0-660-52872-X
84-601-X,8,1708-2005,1708-2005
84-601-X,17,1708-2005,1708-2005
84F0001X,12,1491-6673,1491-6673
84F0208X,8,1708-0908,1708-0908
84F0208X,12,1706-922X,1706-922X
84F0209X,17,1701-2023,1701-2023
84F0209X,8,1701-2023,1701-2023
84F0210X,8,1710-5285,1710-5285
84F0210X,17,1710-5285,1710-5285
84F0211X,17,1708-654X,1708-654X
84F0211X,8,1708-654X,1708-654X
84F0212X,12,1708-9115,1708-9115
84F0212X,8,1712-6452,1712-6452
84F0212X,17,1712-6452,1712-6452
84F0213X,17,1916-372X,1916-372X
84F0213X,12,1497-7796,1497-7796
85-002-X,12,0715-271X,0715-271X
85-002-X,17,1209-6393,1209-6393
85-002-X,8,1209-6393,1209-6393
85-003-X,8,1712-5324,1712-5324
85-003-X,17,1712-5324,1712-5324
85-004-X,17,1918-9664,1918-9664
85-004-X,8,1918-9664,1918-9664
85-005-X,8,1925-3427,1925-3427
85-005-X,17,1925-3427,1925-3427
85-205-X,12,0824-0337,0824-0337
85-205-X,8,1481-1766,1481-1766
85-211-X,12,0715-2973,0715-2973
85-211-X,8,1480-8501,1480-8501
85-211-X,10,0715-2973,0715-2973
85-214-X,12,1201-3501,1201-3501
85-217-X,12,1201-0278,1201-0278
85-217-X,8,1481-1626,1481-1626
85-219-X,12,1201-348X,1201-348X
85-222-X,8,1481-3750,1481-3750
85-222-X,10,1208-4840,1208-4840
85-222-X,12,1208-4840,1208-4840
85-223-X,8,1481-5400,1481-5400
85-223-X,12,1206-9221,1206-9221
85-224-X,12,1480-784X,1480-784X
85-224-X,17,1480-7165,1480-7165
85-224-X,8,1480-7165,1480-7165
85-225-X,17,1488-867X,1488-867X
85-225-X,8,1488-867X,1488-867X
85-226-X,8,1492-8590,1492-8590
85-227-X,8,1715-2240,1715-2240
85-228-X,17,1708-0436,1708-0436
85-228-X,8,1708-0436,1708-0436
85-402-X,12,1209-7209,1209-7209
85-402-X,8,1703-2644,1703-2644
85-402-X,10,1209-7209,1209-7209
85-403-X,8,1703-3225,1703-3225
85-404-X,17,1715-3670,1715-3670
