productidnew_bi_strs,formatcode_bi_txtm,issnnum_en_strs,issnnum_fr_strs
13-214-D,4,1705-8899,1705-8899
13-214-X,4,1705-8899,1705-8899
13-214-X,8,1705-8902,1705-8902
13-214-X,17,1705-8902,1705-8902
13-214-X,12,0825-9216,0825-9216
13-215-X,12,1188-1879,1188-1879
13-215-X,8,1481-3912,1481-3912
13-216-X,12,0825-124X,0825-124X
13-217-X,12,0829-6235,0829-6235
13-217-X,8,1488-3236,1488-3236
13-218-X,12,0226-4560,0226-4560
13-220-X,12,1207-3016,1207-3016
13-220-X,8,1705-2955,1705-2955
13-531-X,12,0-660-53422-3,0-660-53422-3
13-533-X,12,0-660-53421-5,0-660-53421-5
13-551-X,8,1701-2112,1701-2112
13-551-X,12,1201-494X,1201-494X
13-568-X,12,0-660-58915-X,0-660-58915-X
13-569-X,8,1486-6986,1486-6986
13-569-X,12,1201-4958,1201-4958
13-577-X,12,0-660-52241-1,0-660-52241-1
13-580-X,12,0-660-52877-0,0-660-52877-0
13-581-X,12,0-660-11507-7,0-660-11507-7
13-582-X,12,1209-1820,1209-1820
13-582-X,8,1486-6978,1486-6978
13-585-X,12,0-660-12077-1,0-660-12077-1
13-588-M,12,0835-5525,0835-5525
13-589-X,12,0-660-13257-5,0-660-13257-5
13-594-G,12,0-660-16521-X,0-660-16521-X
13-602-X,12,0-660-54864-X,0-660-54864-X
13-603-M,12,1192-0106,1192-0106
13-604-M,8,1707-1739,1707-1739
13-604-M,17,1707-1739,1707-1739
13-604-M,12,1707-1720,1707-1720
13-605-X,8,1705-9658,1705-9658
13-605-X,17,1705-9658,1705-9658
13F0016D,4,1491-0659,1491-0659
13F0016X,4,1491-0659,1491-0659
13F0016X,12,1490-361X,1490-361X
13F0019X,8,1701-5758,1701-5758
13F0022X,8,1708-9700,1708-9700
13F0022X,3,1492-1545,1492-1545
13F0026M,17,1707-0783,1707-0783
13F0026M,8,1707-0783,1707-0783
13F0031M,8,1707-343X,1707-343X
15-001-X,17,1492-3319,1492-3319
15-001-X,8,1492-3319,1492-3319
15-001-X,12,0711-852X,0711-852X
15-002-M,8,1710-3770,1710-3770
15-003-X,17,1710-2448,1710-2448
15-003-X,8,1710-2448,1710-2448
15-201-X,12,0226-2304,0226-2304
15-201-X,17,1499-9501,1499-9501
15-201-X,8,1499-9501,1499-9501
15-203-X,12,0712-8762,0712-8762
