extras_productidnew_bi_strs,issnnum_en_bi_strs,issnnum_fr_bi_strs
89M0007X,0-660-60625-9,0-660-60625-9
92F0086X,0-660-59281-9,0-660-59281-9
92F0175X,0-662-34368-9,0-662-34368-9
91-545-X,0-660-16421-3,0-660-16421-3
92F0009X,1209-420X,1209-420X
92F0009X,1715-0329,1715-0329
92F0028G,1710-1638,1710-1638
91-003-X,1916-1832,1916-1832
91-204-X,0840-9188,0840-9188
91-210-X,0827-9624,0827-9624
92-336-X,0-660-14269-4,0-660-14269-4
92-343-X,0-660-14301-1,0-660-14301-1
92-350-U,0-660-17094-9,0-660-17094-9
92-405-X,0-662-31267-8,0-662-31267-8
92-405-X,0-662-31266-X,0-662-31266-X
16-252-X,1715-9563,1715-9563
92F0193G,1710-2707,1710-2707
92F0193U,1710-9256,1710-9256
92F0194X,0-660-19263-2,0-660-19263-2
16-253-X,1715-958X,1715-958X
16-254-X,1911-6713,1911-6713
63-270-X,1918-9974,1918-9974
63-271-X,1918-9990,1918-9990
91-214-X,1920-8154,1920-8154
91-551-X,1920-9134,1920-9134
92-125-G,0-660-16886-3,0-660-16886-3
63-541-X,0-660-54865-8,0-660-54865-8
92-352-X,0-660-16664-X,0-660-16664-X
92-354-X,0-660-59284-3,0-660-59284-3
92-500-G,1911-5210,1911-5210
92-500-G,1911-5210,1911-5210
53-003-X,0829-1756,0829-1756
89-595-X,0-662-35768-X,0-662-35768-X
89-599-M,1712-3070,1712-3070
56-208-X,1913-0104,1913-0104
89F0078X,1710-937X,1710-937X
56-504-X,0-660-18475-3,0-660-18475-3
91-215-X,1911-2408,1911-2408
91-519-X,0-660-53416-9,0-660-53416-9
89-611-X,1708-7740,1708-7740
85F0033M,1496-4562,1496-4562
92-153-G,1708-3095,1708-3095
11-402-X,1203-2107,1203-2107
22-002-X,0575-8548,0575-8548
26-202-X,1481-5176,1481-5176
26-206-X,1481-4404,1481-4404
26-213-X,1703-4930,1703-4930
26-223-X,1708-6299,1708-6299
41-001-X,0380-7851,0380-7851
41-011-X,1481-5346,1481-5346
41-019-X,1712-980X,1712-980X
41-250-X,0835-0116,0835-0116
22-008-U,1705-7035,1705-7035
22-008-X,1705-7035,1705-7035
52-001-X,1496-8592,1496-8592
52-216-X,1209-1316,1209-1316
26-224-X,0226-4609,0226-4609
68-213-S,1708-1297,1708-1297
68-507-X,0-660-11577-8,0-660-11577-8
68-508-X,0-660-54898-4,0-660-54898-4
71-220-X,1181-6627,1181-6627
71-222-X,1710-4254,1710-4254
68-212-X,1201-6284,1201-6284
52-216-X,1209-1316,1209-1316
53-218-X,1480-753X,1480-753X
53-219-X,0706-067X,0706-067X
68-512-X,0-660-54872-0,0-660-54872-0
74-401-X,0701-5488,0701-5488
31-209-X,0382-4012,0382-4012
98-121-X,0-660-54013-4,0-660-54013-4
43-250-X,1481-9821,1481-9821
71-540-X,0-660-58906-0,0-660-58906-0
16F0008X,1911-7779,1911-7779
16F0023X,1701-5677,1701-5677
22-202-X,1481-9872,1481-9872
31-001-X,0840-8238,0840-8238
31-203-X,1708-6124,1708-6124
31-211-X,0575-9455,0575-9455
96-303-S,0-660-14307-0,0-660-14307-0
96-304-X,0-660-14311-9,0-660-14311-9
96-311-X,0-13-310665-9,0-13-310665-9
16F0024X,0-662-31370-4,0-662-31370-4
47-007-X,0823-0900,0823-0900
50-002-X,0828-2897,0828-2897
22-205-X,1705-8783,1705-8783
23-001-X,0300-0753,0300-0753
23-009-X,1206-5420,1206-5420
23-010-X,1705-1207,1705-1207
53-223-X,1499-318X,1499-318X
31-212-X,0576-0186,0576-0186
68-513-X,0-660-59383-1,0-660-59383-1
42-251-X,0835-0140,0835-0140
43-009-X,0828-1777,0828-1777
51-004-X,0843-493X,0843-493X
51-007-X,1911-6314,1911-6314
53F0004X,1496-3736,1496-3736
53F0007X,0-662-33175-3,0-662-33175-3
53M0003X,0-660-60614-3,0-660-60614-3
95M0011X,0-660-59289-4,0-660-59289-4
95M0012X,0-660-59290-8,0-660-59290-8
72-002-X,1496-0583,1496-0583
74F0002X,1484-2335,1484-2335
97F0011X,0-662-34923-7,0-662-34923-7
17-507-X,1701-543X,1701-543X
21-004-X,1481-899X,1481-899X
21-004-X,1195-4302,1195-4302
23-013-X,1705-4273,1705-4273
23-014-X,1705-9917,1705-9917
23-202-X,1480-7572,1480-7572
31-533-X,0-662-38321-4,0-662-38321-4
32-006-X,0527-5911,0527-5911
32-011-X,0702-6528,0702-6528
32-025-X,0709-2768,0709-2768
21-005-X,1480-9605,1480-9605
21-006-X,1481-0964,1481-0964
21-006-X,1481-0964,1481-0964
51-007-X,1911-6314,1911-6314
51-203-X,1480-7505,1480-7505
23-207-X,0318-787X,0318-787X
23-208-X,0318-7888,0318-7888
55-001-X,1481-5427,1481-5427
